sample_idx,ground_truth,gt_label,h1_0,h1_1,h1_2,h1_3,h1_4,h1_5,h1_6,h1_7,h1_8,h1_9,h1_10,h1_11,h1_12,h1_13,h1_14,h1_15,h1_16,h1_17,h1_18,h1_19,h1_20,h1_21,h1_22,h1_23,h1_24,h1_25,h1_26,h1_27,h1_28,h1_29,h1_30,h1_31,h2_0,h2_1,h2_2,h2_3,h2_4,h2_5,h2_6,h2_7,h2_8,h2_9,h2_10,h2_11,h2_12,h2_13,h2_14,h2_15
1455,3,D,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.411067,38.559013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,136.255859,0.000000,81.237808,0.000000,195.858353,0.000000,286.811798,38.144279,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.026327,0.000000,41.577084,0.000000,0.000000,0.000000,0.000000,50.468834,0.000000,0.000000,0.000000,0.000000,0.000000
1456,4,E,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,209.286179,0.000000,0.000000,0.000000,129.372803,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,203.324066,0.000000,48.463089,0.000000,219.582718,0.000000,145.417358,91.687843,0.000000,0.000000,0.000000,0.000000,52.212093,0.000000,6.746143,0.000000,55.346516,0.000000,0.000000,0.000000,0.000000,0.000000,57.476215,16.696953,0.000000,0.000000,45.612907
1457,2,C,0.000000,0.000000,232.969040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,334.477722,0.000000,0.000000,0.000000,0.000000,47.011452,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.581097,0.000000,133.734222,0.000000,113.192932,0.000000,153.867447,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.895708,0.000000,0.000000,0.000000,0.000000,35.920887,0.000000,0.000000,0.000000,0.000000
1458,1,B,0.000000,0.000000,226.378403,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.918060,39.868752,0.000000,0.000000,0.000000,23.654757,0.000000,0.000000,65.276955,0.000000,0.000000,0.000000,82.321907,0.000000,139.371796,0.000000,62.753025,0.000000,161.386581,0.000000,0.000000,71.375031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.755280,0.000000,0.000000,0.000000,0.000000,0.000000,16.741444,0.000000,0.000000,0.000000,0.000000
1459,1,B,0.000000,0.000000,224.331650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,79.226845,13.052009,0.000000,0.000000,0.000000,15.078782,0.000000,0.000000,96.138840,0.000000,0.000000,0.000000,86.908409,0.000000,133.377502,0.000000,62.076710,0.000000,162.425308,0.000000,0.000000,56.595291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.792042,0.000000,0.000000,0.000000,0.000000,0.000000,2.058394,0.000000,0.000000,0.000000,0.000000
1460,1,B,0.000000,0.000000,190.160782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.405666,57.610630,0.000000,0.000000,0.000000,43.677246,0.000000,0.000000,97.430939,0.000000,0.000000,0.000000,87.012985,0.000000,114.426537,0.000000,62.559269,0.000000,143.855789,0.000000,0.000000,97.717094,0.000000,0.000000,3.663082,0.000000,0.000000,0.000000,19.080500,0.000000,0.000000,0.000000,0.000000,0.000000,12.230326,0.000000,0.000000,0.000000,0.000000
1461,0,A,0.000000,0.000000,197.618271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.734962,66.892723,0.000000,0.000000,0.000000,57.501781,0.000000,0.000000,30.301003,0.000000,0.000000,0.000000,82.343246,0.000000,110.867950,0.000000,97.978470,0.000000,142.174789,0.000000,0.000000,121.592888,0.000000,0.000000,26.768105,0.000000,0.000000,0.000000,5.493671,0.000000,0.000000,0.000000,0.000000,0.000000,32.859165,0.000000,0.000000,0.000000,0.000000
1462,1,B,0.000000,0.000000,226.194366,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.052200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.418613,0.000000,0.000000,0.000000,112.576141,0.000000,168.212967,0.000000,73.395668,0.000000,192.071808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.827099,0.000000,0.000000,0.000000,0.000000,0.000000,6.514170,0.000000,0.000000,0.000000,0.000000
1463,1,B,0.000000,0.000000,282.838959,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,89.784126,3.859705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,208.542847,0.000000,298.951752,0.000000,0.000000,0.000000,314.395172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,89.200127,5.784252,0.000000,0.000000,0.000000,0.000000,21.322187,0.000000,0.000000,0.000000,0.000000
1464,1,B,0.000000,0.000000,258.453918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.805168,19.420944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,212.597809,0.000000,296.150940,0.000000,0.000000,0.000000,327.984741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,98.113243,1.320590,0.000000,0.000000,0.000000,0.000000,17.952251,0.000000,0.000000,0.000000,0.000000
1465,1,B,0.000000,0.000000,172.110428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.621754,45.384171,0.000000,0.000000,0.000000,52.240070,0.000000,0.000000,79.309647,0.000000,0.000000,0.000000,96.447311,0.000000,110.491592,0.000000,89.166519,0.000000,140.328934,0.000000,0.000000,82.916344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.853371,0.000000,0.000000,0.000000,0.000000,0.000000,16.038149,0.000000,0.000000,0.000000,0.000000
1466,1,B,0.000000,0.000000,192.322235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.361099,53.701889,0.000000,0.000000,0.000000,41.023655,0.000000,0.000000,77.003250,0.000000,0.000000,0.000000,84.562744,0.000000,119.746071,0.000000,66.438690,0.000000,141.510345,0.000000,0.000000,104.428299,0.000000,0.000000,8.782750,0.000000,0.000000,0.000000,15.723851,0.000000,0.000000,0.000000,0.000000,0.000000,16.218002,0.000000,0.000000,0.000000,0.000000
1467,4,E,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,305.924042,136.582550,0.000000,0.000000,0.000000,1.184590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.731441,0.000000,36.291828,0.000000,218.334213,0.000000,0.000000,0.000000,0.000000,16.459143,9.979836,0.000000,22.187399,0.000000,18.372368,63.472713,13.690241,0.000000,0.000000,0.000000,30.637720,0.000000,0.000000,0.000000,47.985821
1468,0,A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.800480,0.000000,0.000000,0.000000,85.780304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,197.877411,0.000000,99.819756,0.000000,237.598953,0.000000,172.504593,204.622986,0.000000,48.878746,0.000000,0.000000,13.937254,0.000000,0.000000,0.000000,9.467174,0.000000,0.000000,0.000000,0.000000,31.636694,29.984083,0.000000,0.000000,0.000000,0.000000
1469,0,A,0.000000,0.000000,212.948975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,106.591728,59.356735,0.000000,0.000000,0.000000,68.596687,0.000000,0.000000,4.707588,0.000000,0.000000,0.000000,73.297607,0.000000,132.310272,0.000000,64.169418,0.000000,134.847168,0.000000,0.000000,113.303970,0.000000,0.000000,33.330990,0.000000,0.000000,0.000000,7.169785,0.000000,0.000000,0.000000,0.000000,0.000000,42.353184,0.000000,0.000000,0.000000,1.098189
1470,0,A,0.000000,0.000000,170.404373,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.568284,49.465752,0.000000,0.000000,0.000000,44.754032,0.000000,0.000000,75.842285,0.000000,0.000000,0.000000,79.119026,0.000000,110.813881,0.000000,92.471420,0.000000,136.534866,0.000000,0.000000,123.227371,0.000000,0.000000,11.611813,0.000000,0.000000,0.000000,8.575845,0.000000,0.000000,0.000000,0.000000,0.000000,14.131090,0.000000,0.000000,0.000000,0.000000
1471,3,D,0.000000,0.000000,3.781459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,158.404510,0.000000,147.416763,0.000000,242.982117,0.000000,244.144562,86.061882,0.000000,2.762281,0.000000,0.000000,0.000000,0.000000,17.273508,0.000000,35.201981,0.000000,0.000000,0.000000,0.000000,70.874863,0.000000,0.000000,0.000000,0.000000,0.000000
1472,0,A,0.000000,0.000000,168.199997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,65.777832,56.665916,0.000000,0.000000,0.000000,65.752052,0.000000,0.000000,29.571196,0.000000,0.000000,0.000000,85.920113,0.000000,113.821037,0.000000,93.449524,0.000000,129.517517,0.000000,0.000000,119.171249,0.000000,0.000000,25.894100,0.000000,0.000000,0.000000,6.771724,0.000000,0.000000,0.000000,0.000000,0.000000,32.241055,0.000000,0.000000,0.000000,0.000000
1473,4,E,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,80.993103,185.300568,0.000000,0.000000,0.000000,71.675415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,158.087540,0.000000,149.884689,0.000000,131.714920,0.000000,201.209717,0.000000,0.000000,0.000000,0.000000,0.000000,34.399380,0.000000,31.089365,0.000000,75.231293,14.348195,0.000000,0.000000,0.000000,0.000000,48.906006,0.000000,0.000000,0.000000,53.116600
1474,3,D,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,121.733757,0.000000,76.928848,0.000000,268.918060,0.000000,333.921295,161.574631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.408790,0.000000,0.000000,0.000000,0.000000,84.296249,0.000000,0.000000,0.000000,0.000000,0.000000
1475,2,C,0.000000,0.000000,230.351105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,152.177109,0.000000,0.000000,0.000000,0.000000,20.978029,0.000000,0.000000,70.693649,0.000000,0.000000,0.000000,67.100746,0.000000,141.929245,0.000000,80.654694,0.000000,154.055618,0.000000,0.000000,38.149651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.086389,0.000000,0.000000,0.000000,0.000000,0.000000,10.147470,0.000000,0.000000,0.000000,0.000000
1476,2,C,0.000000,0.000000,221.840714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,220.310974,0.000000,0.000000,0.000000,0.000000,59.894627,0.000000,0.000000,5.046269,0.000000,0.000000,0.000000,38.524132,0.000000,153.506287,0.000000,98.097870,0.000000,144.169312,0.000000,0.000000,5.370671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.043269,0.000000,0.000000,0.000000,0.000000,0.000000,32.877041,0.000000,0.000000,0.000000,0.000000
1477,1,B,0.000000,0.000000,165.419281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154383,57.528313,0.000000,0.000000,0.000000,16.386061,0.000000,0.000000,48.330055,0.000000,0.000000,0.000000,125.874962,0.000000,131.229980,0.000000,91.537918,0.000000,170.774841,0.000000,0.000000,112.880630,0.000000,0.000000,15.093767,0.000000,0.000000,0.000000,27.651104,0.000000,0.000000,0.000000,0.000000,0.000000,13.331142,0.000000,0.000000,0.000000,0.000000
