infer_us,l0_us,l1_us,l2_us,sm_us,confidence,free_ram,peak_stack
10656,7208,2904,532,980,98.6,1009,65752
10652,7208,2904,528,984,98.6,1009,65764
10660,7208,2904,536,984,98.6,1009,65804
10656,7208,2904,532,984,98.6,1009,65836
10660,7204,2908,540,980,98.6,1009,65804
10656,7208,2904,532,984,98.6,1009,65744
10656,7208,2900,536,984,98.6,1009,65780
10656,7208,2904,532,980,98.6,1009,65760
10656,7208,2904,532,984,98.6,1009,65824
10656,7208,2904,532,980,98.6,1009,65768
10656,7208,2900,536,984,98.6,1009,65812
10660,7208,2904,536,984,98.6,1009,65768
10660,7208,2904,540,980,98.6,1009,65776
